Phenotype Term Name	Phenotype Term ID	Disease Name	Disease ID	Chemical Inference Network	Gene Inference Network	References
kinase activity	GO:0016301	COVID-19	MESH:D000086382		BTK|CCL3|HCK|TYK2	4
phosphorylation	GO:0016310	COVID-19	MESH:D000086382		BTK|CCL3|HCK|TYK2	4
negative regulation of angiogenesis	GO:0016525	COVID-19	MESH:D000086382		AGT|CCL2|CCR2|CXCL10	3
negative regulation of transcription by RNA polymerase II	GO:0000122	COVID-19	MESH:D000086382		ABO|BCL11A|IL1B|TNF	4
Golgi membrane	GO:0000139	COVID-19	MESH:D000086382		ABO|BSG|FUT2|UGCG	4
hydrolase activity	GO:0016787	COVID-19	MESH:D000086382		ACE2|PLSCR1|TMPRSS2|TMPRSS4	17
positive regulation of protein kinase B signaling	GO:0051897	COVID-19	MESH:D000086382		CCL3|CSF3|IL6|TNF	5
positive regulation of cytokine production	GO:0001819	COVID-19	MESH:D000086382		AGT|IL10|IL1B|TNF	4
chemokine activity	GO:0008009	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8	2
regulation of gene expression	GO:0010468	COVID-19	MESH:D000086382		AGT|IL10|IL7|TMPRSS4	4
heparin binding	GO:0008201	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8	2
protein kinase B signaling	GO:0043491	COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|TNF	2
regulation of cell shape	GO:0008360	COVID-19	MESH:D000086382		CCL2|CCL3|HCK|IL6	6
regulation of apoptotic process	GO:0042981	COVID-19	MESH:D000086382		AGT|CXCL10|IL6	6
endocytosis	GO:0006897	COVID-19	MESH:D000086382		CD209|TMPRSS2|TMPRSS4	4
positive regulation of monocyte chemotaxis	GO:0090026	COVID-19	MESH:D000086382		CCL2|CCR2|CXCL10	2
leukocyte migration	GO:0050900	COVID-19	MESH:D000086382		IL1B|SELE|TNF	3
regulation of insulin secretion	GO:0050796	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
cellular response to estradiol stimulus	GO:0071392	COVID-19	MESH:D000086382		CCL2|IL10|IL6	5
negative regulation of neuron apoptotic process	GO:0043524	COVID-19	MESH:D000086382		AGT|CCL2|IL10	3
positive regulation of MAPK cascade	GO:0043410	COVID-19	MESH:D000086382		AGT|IL6|TNF	6
cell projection	GO:0042995	COVID-19	MESH:D000086382		ACE2|BSG|HCK	17
chemokine-mediated signaling pathway	GO:0070098	COVID-19	MESH:D000086382		CCL2|CCR2|CXCL10	2
endoplasmic reticulum lumen	GO:0005788	COVID-19	MESH:D000086382		ACE2|F8|IL6	20
cellular_component	GO:0005575	COVID-19	MESH:D000086382		IL7|SELE|TMEM106B	3
cellular response to retinoic acid	GO:0071300	COVID-19	MESH:D000086382		CCL2|MUC1|TNF	2
response to cold	GO:0009409	COVID-19	MESH:D000086382		AGT|CXCL10|IL6	6
astrocyte activation	GO:0048143	COVID-19	MESH:D000086382		AGT|IL1B|TNF	3
macrophage chemotaxis	GO:0048246	COVID-19	MESH:D000086382		CCL2|CCL3|IL1B	2
nucleoplasm	GO:0005654	COVID-19	MESH:D000086382		BCL11A|PLSCR1|TMPRSS2	4
positive regulation of neuroinflammatory response	GO:0150078	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
negative regulation of lipid storage	GO:0010888	COVID-19	MESH:D000086382		CRP|IL6|TNF	5
positive regulation of interleukin-8 production	GO:0032757	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
protein serine/threonine/tyrosine kinase activity	GO:0004712	COVID-19	MESH:D000086382		BTK|HCK|TYK2	3
negative regulation of neurogenesis	GO:0050768	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
positive regulation of estradiol secretion	GO:2000866	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
response to mechanical stimulus	GO:0009612	COVID-19	MESH:D000086382		CCL2|IL6|TNF	5
positive regulation of vascular smooth muscle cell proliferation	GO:1904707	COVID-19	MESH:D000086382		AGT|IL10|TNF	3
calcium ion binding	GO:0005509	COVID-19	MESH:D000086382		CRP|PLSCR1|SELE	2
endosome	GO:0005768	COVID-19	MESH:D000086382		ATP11A|BSG|TMEM106B	3
liver regeneration	GO:0097421	COVID-19	MESH:D000086382		IL10|IL6|TNF	5
JAK-STAT cascade	GO:0007259	COVID-19	MESH:D000086382		CCL2|CCR2|IFNAR2	2
positive regulation of interleukin-17 production	GO:0032740	COVID-19	MESH:D000086382		IL2|IL6|TYK2	6
acute inflammatory response	GO:0002526	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
wound healing	GO:0042060	COVID-19	MESH:D000086382		CRP|IL1B|IL6	4
response to organic substance	GO:0010033	COVID-19	MESH:D000086382		BTK|IL10|TNF	3
cellular response to interferon-gamma	GO:0071346	COVID-19	MESH:D000086382		CCL2|CCL3|TNF	1
positive regulation of phosphatidylinositol 3-kinase signaling	GO:0014068	COVID-19	MESH:D000086382		AGT|CSF3|TNF	2
cellular response to interleukin-17	GO:0097398	COVID-19	MESH:D000086382		CXCL10|IL1B|IL6	5
response to estradiol	GO:0032355	COVID-19	MESH:D000086382		AGT|CRP|IL1B	3
protein tyrosine kinase activity	GO:0004713	COVID-19	MESH:D000086382		BTK|HCK|TYK2	3
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GO:2001240	COVID-19	MESH:D000086382		IL1B|IL7|TNF	2
peptidase activity	GO:0008233	COVID-19	MESH:D000086382		ACE2|TMPRSS2|TMPRSS4	16
non-membrane spanning protein tyrosine kinase activity	GO:0004715	COVID-19	MESH:D000086382		BTK|HCK|TYK2	3
positive regulation of neuron projection development	GO:0010976	COVID-19	MESH:D000086382		AGT|BCL11A|IL6	6
cellular response to cytokine stimulus	GO:0071345	COVID-19	MESH:D000086382		CSF3|IL6|PLSCR1	6
positive regulation of glial cell proliferation	GO:0060252	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
vascular endothelial growth factor production	GO:0010573	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
regulation of vascular endothelial growth factor production	GO:0010574	COVID-19	MESH:D000086382		CCL2|CCR2|IL6	6
positive regulation of vascular endothelial growth factor production	GO:0010575	COVID-19	MESH:D000086382		BSG|IL1B|IL6	5
response to nutrient levels	GO:0031667	COVID-19	MESH:D000086382		CRP|IL6|TNF	5
intracellular membrane-bounded organelle	GO:0043231	COVID-19	MESH:D000086382		ATP11A|BSG|HCK	3
neuronal cell body	GO:0043025	COVID-19	MESH:D000086382		CCL2|CCR2|TNF	2
response to molecule of bacterial origin	GO:0002237	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B	3
animal organ morphogenesis	GO:0009887	COVID-19	MESH:D000086382		CCL2|IL7|TNF	1
response to organic cyclic compound	GO:0014070	COVID-19	MESH:D000086382		IL1B|IL6|TNF	5
positive regulation of peptidyl-tyrosine phosphorylation	GO:0050731	COVID-19	MESH:D000086382		AGT|CSF3|IL6	6
positive regulation of immunoglobulin production	GO:0002639	COVID-19	MESH:D000086382		IL10|IL2|IL6	5
positive regulation of tyrosine phosphorylation of STAT protein	GO:0042531	COVID-19	MESH:D000086382		IL2|IL6|TNF	5
signaling receptor binding	GO:0005102	COVID-19	MESH:D000086382		CCL2|CXCL10|IL6	5
defense response to bacterium	GO:0042742	COVID-19	MESH:D000086382		IL10|IL1B|TNF	3
positive regulation of T cell differentiation	GO:0045582	COVID-19	MESH:D000086382		IL2|IL2RA|IL7	3
secretory granule	GO:0030141	COVID-19	MESH:D000086382		IL1B|TMPRSS4|TNF	3
positive regulation of protein phosphorylation	GO:0001934	COVID-19	MESH:D000086382		IL1B|IL2|TNF	2
positive regulation of viral entry into host cell	GO:0046598	COVID-19	MESH:D000086382		BSG|TMPRSS2|TMPRSS4	4
response to gamma radiation	GO:0010332	COVID-19	MESH:D000086382		CCL2|CXCL10|IL1B	2
lipid transport	GO:0006869	COVID-19	MESH:D000086382		ATP11A|PLSCR1	1
female pregnancy	GO:0007565	COVID-19	MESH:D000086382		AGT|MUC1	2
embryo implantation	GO:0007566	COVID-19	MESH:D000086382		BSG|IL1B	2
positive regulation of endothelial cell proliferation	GO:0001938	COVID-19	MESH:D000086382		CCL2|IL10	2
embryonic digestive tract development	GO:0048566	COVID-19	MESH:D000086382		CXCL8|TNF	2
negative regulation of B cell proliferation	GO:0030889	COVID-19	MESH:D000086382		BTK|IL10	3
positive regulation of B cell proliferation	GO:0030890	COVID-19	MESH:D000086382		IL2|IL7	1
sequestering of triglyceride	GO:0030730	COVID-19	MESH:D000086382		IL1B|TNF	2
blood coagulation	GO:0007596	COVID-19	MESH:D000086382		F8|IL10RB	1
positive regulation of mitotic nuclear division	GO:0045840	COVID-19	MESH:D000086382		IL1B|TNF	2
T cell differentiation	GO:0030217	COVID-19	MESH:D000086382		BCL11A|IL2	2
positive regulation of dendrite development	GO:1900006	COVID-19	MESH:D000086382		CRP|TMEM106B	2
regulation of T cell homeostatic proliferation	GO:0046013	COVID-19	MESH:D000086382		IL2|IL2RA	3
cellular response to fatty acid	GO:0071398	COVID-19	MESH:D000086382		CCL2|IL1B	2
positive regulation of T cell activation	GO:0050870	COVID-19	MESH:D000086382		CCL2|CCR2	2
positive regulation of superoxide anion generation	GO:0032930	COVID-19	MESH:D000086382		AGT|CRP	2
B cell differentiation	GO:0030183	COVID-19	MESH:D000086382		BCL11A|IL10	3
regulation of synapse organization	GO:0050807	COVID-19	MESH:D000086382		IL10|TNF	2
positive regulation of synaptic transmission	GO:0050806	COVID-19	MESH:D000086382		CCL2|TNF	1
caveola	GO:0005901	COVID-19	MESH:D000086382		HCK|SELE	2
phospholipid transport	GO:0015914	COVID-19	MESH:D000086382		ATP11A|PLSCR1	1
dendrite	GO:0030425	COVID-19	MESH:D000086382		CCL2|CCR2	2
type I interferon signaling pathway	GO:0060337	COVID-19	MESH:D000086382		IFNAR2|TYK2	1
response to tumor necrosis factor	GO:0034612	COVID-19	MESH:D000086382		CCL2|SELE	2
regulation of catalytic activity	GO:0050790	COVID-19	MESH:D000086382		BTK|CXCL10	2
positive regulation of leukocyte chemotaxis	GO:0002690	COVID-19	MESH:D000086382		CXCL10|IL6	5
response to insulin	GO:0032868	COVID-19	MESH:D000086382		IL10|IL6	5
positive regulation of leukocyte adhesion to vascular endothelial cell	GO:1904996	COVID-19	MESH:D000086382		IL6|TNF	5
positive regulation of p38MAPK cascade	GO:1900745	COVID-19	MESH:D000086382		CCR2|IL1B	2
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	GO:0007157	COVID-19	MESH:D000086382		CD209|SELE	1
leukocyte cell-cell adhesion	GO:0007159	COVID-19	MESH:D000086382		CD209|SELE	1
protein glycosylation	GO:0006486	COVID-19	MESH:D000086382		ABO|FUT2	2
positive regulation of interleukin-2 production	GO:0032743	COVID-19	MESH:D000086382		CCR2|IL1B	2
positive regulation of leukocyte migration	GO:0002687	COVID-19	MESH:D000086382		CCL2|SELE	2
cellular homeostasis	GO:0019725	COVID-19	MESH:D000086382		CCL2|CCR2	2
cellular response to interleukin-6	GO:0071354	COVID-19	MESH:D000086382		CCL2|CRP	2
response to cytokine	GO:0034097	COVID-19	MESH:D000086382		IL6|SELE	5
innate immune response	GO:0045087	COVID-19	MESH:D000086382		BTK|CD209	2
response to salt stress	GO:0009651	COVID-19	MESH:D000086382		AGT|TNF	2
serine-type peptidase activity	GO:0008236	COVID-19	MESH:D000086382		TMPRSS2|TMPRSS4	3
extrinsic apoptotic signaling pathway in absence of ligand	GO:0097192	COVID-19	MESH:D000086382		IL1B|IL2	2
zinc ion binding	GO:0008270	COVID-19	MESH:D000086382		ACE2|PLSCR1	16
positive regulation of endothelial cell migration	GO:0010595	COVID-19	MESH:D000086382		AGT|BSG	2
cytoskeleton	GO:0005856	COVID-19	MESH:D000086382		HCK|TYK2	2
Golgi lumen	GO:0005796	COVID-19	MESH:D000086382		F8|MUC1	1
negative regulation of interleukin-6 production	GO:0032715	COVID-19	MESH:D000086382		IL10|TNF	2
cellular response to glucose stimulus	GO:0071333	COVID-19	MESH:D000086382		CCL2|IL1B	2
signaling receptor activity	GO:0038023	COVID-19	MESH:D000086382		BSG|IL10RB	2
protein autophosphorylation	GO:0046777	COVID-19	MESH:D000086382		BTK|HCK	2
hemopoiesis	GO:0030097	COVID-19	MESH:D000086382		CCR2|IL10	3
cell-cell adhesion	GO:0098609	COVID-19	MESH:D000086382		BSG|ICAM5	2
activation of phospholipase C activity	GO:0007202	COVID-19	MESH:D000086382		AGT|SELE	2
regulation of sensory perception of pain	GO:0051930	COVID-19	MESH:D000086382		CCL3|IL10	2
extracellular matrix organization	GO:0030198	COVID-19	MESH:D000086382		AGT|TNF	2
T cell chemotaxis	GO:0010818	COVID-19	MESH:D000086382		CCL3|CXCL10	1
apoptotic signaling pathway	GO:0097190	COVID-19	MESH:D000086382		BTK|TNF	2
endoplasmic reticulum membrane	GO:0005789	COVID-19	MESH:D000086382		ATP11A|BSG	2
regulation of cardiac conduction	GO:1903779	COVID-19	MESH:D000086382		ACE2|AGT	16
negative regulation of lymphocyte proliferation	GO:0050672	COVID-19	MESH:D000086382		IL2|IL2RA	3
positive regulation of synaptic transmission, glutamatergic	GO:0051968	COVID-19	MESH:D000086382		CCL2|CCR2	2
lymphocyte chemotaxis	GO:0048247	COVID-19	MESH:D000086382		CCL2|CCL3	1
regulation of transcription by RNA polymerase II	GO:0006357	COVID-19	MESH:D000086382		IFNAR2|TNF	2
regulation of cell adhesion	GO:0030155	COVID-19	MESH:D000086382		CXCL8|FUT2	2
magnesium ion binding	GO:0000287	COVID-19	MESH:D000086382		ATP11A|PLSCR1	1
Golgi cisterna membrane	GO:0032580	COVID-19	MESH:D000086382		ABO|FUT2	2
regulation of vasoconstriction	GO:0019229	COVID-19	MESH:D000086382		ACE2|AGT	16
apical plasma membrane	GO:0016324	COVID-19	MESH:D000086382		ACE2|MUC1	16
endoplasmic reticulum	GO:0005783	COVID-19	MESH:D000086382		ATP11A|BSG	2
positive regulation of reactive oxygen species metabolic process	GO:2000379	COVID-19	MESH:D000086382		ACE2|AGT	16
positive regulation of pri-miRNA transcription by RNA polymerase II	GO:1902895	COVID-19	MESH:D000086382		IL10|TNF	2
RNA polymerase II proximal promoter sequence-specific DNA binding	GO:0000978	COVID-19	MESH:D000086382		BCL11A|MUC1	1
protein kinase binding	GO:0019901	COVID-19	MESH:D000086382		BCL11A|IFNAR2	2
regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043122	COVID-19	MESH:D000086382		IL1B|TNF	2
peptidyl-tyrosine phosphorylation	GO:0018108	COVID-19	MESH:D000086382		BTK|HCK	2
cellular response to fibroblast growth factor stimulus	GO:0044344	COVID-19	MESH:D000086382		CCL2|CXCL8	2
positive regulation of endothelial cell apoptotic process	GO:2000353	COVID-19	MESH:D000086382		CCL2|TNF	1
protein dimerization activity	GO:0046983	COVID-19	MESH:D000086382		CRP|IL10	3
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	COVID-19	MESH:D000086382		IL6|TNF	5
response to amino acid	GO:0043200	COVID-19	MESH:D000086382		CCL2|IL6	5
cellular response to mechanical stimulus	GO:0071260	COVID-19	MESH:D000086382		AGT|IL1B	2
response to auditory stimulus	GO:0010996	COVID-19	MESH:D000086382		CXCL10|IL6	5
perikaryon	GO:0043204	COVID-19	MESH:D000086382		CCL2|CCR2	2
response to lead ion	GO:0010288	COVID-19	MESH:D000086382		CRP|PLSCR1	2
cellular response to antibiotic	GO:0071236	COVID-19	MESH:D000086382		IL10|IL1B	3
cytoskeleton organization	GO:0007010	COVID-19	MESH:D000086382		CCL2|CCL3	1
positive regulation of calcidiol 1-monooxygenase activity	GO:0060559	COVID-19	MESH:D000086382		IL1B|TNF	2
negative regulation of T cell proliferation	GO:0042130	COVID-19	MESH:D000086382		IL10|IL2RA	3
phospholipase binding	GO:0043274	COVID-19	MESH:D000086382		BTK|SELE	2
chronic inflammatory response to antigenic stimulus	GO:0002439	COVID-19	MESH:D000086382		IL1B|TNF	2
positive regulation of B cell differentiation	GO:0045579	COVID-19	MESH:D000086382		BTK|IL7	2
in utero embryonic development	GO:0001701	COVID-19	MESH:D000086382		ATP11A|MUC1	1
scavenger receptor activity	GO:0005044	COVID-19	MESH:D000086382		TMPRSS2|TMPRSS4	3
inflammatory response to antigenic stimulus	GO:0002437	COVID-19	MESH:D000086382		CCR2|IL2RA	3
positive regulation of plasma cell differentiation	GO:1900100	COVID-19	MESH:D000086382		IL10|IL2	2
endothelial cell apoptotic process	GO:0072577	COVID-19	MESH:D000086382		IL10|TNF	2
chemoattractant activity	GO:0042056	COVID-19	MESH:D000086382		CCL3|CXCL10	1
cellular response to hepatocyte growth factor stimulus	GO:0035729	COVID-19	MESH:D000086382		IL10|IL6	5
negative regulation of fat cell differentiation	GO:0045599	COVID-19	MESH:D000086382		IL6|TNF	5
cell activation	GO:0001775	COVID-19	MESH:D000086382		CCL3|TNF	1
platelet activation	GO:0030168	COVID-19	MESH:D000086382		IL6|PLSCR1	5
recycling endosome	GO:0055037	COVID-19	MESH:D000086382		ATP11A|TNF	2
response to interferon-beta	GO:0035456	COVID-19	MESH:D000086382		IFNAR2|PLSCR1	2
cellular response to molecule of bacterial origin	GO:0071219	COVID-19	MESH:D000086382		IL1B|TNF	2
positive regulation of activated T cell proliferation	GO:0042104	COVID-19	MESH:D000086382		IL2|IL2RA	3
enzyme binding	GO:0019899	COVID-19	MESH:D000086382		CSF3|PLSCR1	2
transcription coregulator activity	GO:0003712	COVID-19	MESH:D000086382		BCL11A|MUC1	1
homeostasis of number of cells within a tissue	GO:0048873	COVID-19	MESH:D000086382		CCR2|IL7	2
positive regulation of calcium ion import	GO:0090280	COVID-19	MESH:D000086382		CCL2|CCL3	1
maternal process involved in female pregnancy	GO:0060135	COVID-19	MESH:D000086382		ACE2|CCL2	16
negative regulation of signaling receptor activity	GO:2000272	COVID-19	MESH:D000086382		ACE2|TNF	16
negative regulation of myoblast differentiation	GO:0045662	COVID-19	MESH:D000086382		CXCL10|TNF	1
positive regulation of immune complex clearance by monocytes and macrophages	GO:0090265	COVID-19	MESH:D000086382		CCL2|CCR2	2
positive regulation of NMDA glutamate receptor activity	GO:1904783	COVID-19	MESH:D000086382		CCL2|CCR2	2
response to interferon-alpha	GO:0035455	COVID-19	MESH:D000086382		IFNAR2|PLSCR1	2
positive regulation of MAP kinase activity	GO:0043406	COVID-19	MESH:D000086382		IL1B|TNF	2
negative regulation of MAP kinase activity	GO:0043407	COVID-19	MESH:D000086382		AGT|IL1B	2
positive regulation of membrane protein ectodomain proteolysis	GO:0051044	COVID-19	MESH:D000086382		IL1B|TNF	2
epithelial cell proliferation involved in salivary gland morphogenesis	GO:0060664	COVID-19	MESH:D000086382		IL6|TNF	5
positive regulation of osteoclast differentiation	GO:0045672	COVID-19	MESH:D000086382		CCL3|TNF	1
positive regulation of actin cytoskeleton reorganization	GO:2000251	COVID-19	MESH:D000086382		CSF3|HCK	2
response to peptide hormone	GO:0043434	COVID-19	MESH:D000086382		BSG|IL1B	2
protein localization to plasma membrane	GO:0072659	COVID-19	MESH:D000086382		BSG|TNF	2
negative regulation of cytokine production	GO:0001818	COVID-19	MESH:D000086382		BTK|IL10	3
positive regulation of actin filament polymerization	GO:0030838	COVID-19	MESH:D000086382		CSF3|HCK	2
positive regulation of JUN kinase activity	GO:0043507	COVID-19	MESH:D000086382		IL1B|TNF	2
negative regulation of branching morphogenesis of a nerve	GO:2000173	COVID-19	MESH:D000086382		BCL11A|IL1B	2
mannose binding	GO:0005537	COVID-19	MESH:D000086382		BSG|CD209	2
positive regulation of leukocyte tethering or rolling	GO:1903238	COVID-19	MESH:D000086382		CCR2|SELE	2
positive regulation of fever generation	GO:0031622	COVID-19	MESH:D000086382		IL1B|TNF	2
serine-type endopeptidase activity	GO:0004252	COVID-19	MESH:D000086382		TMPRSS2|TMPRSS4	3
astrocyte cell migration	GO:0043615	COVID-19	MESH:D000086382		CCL2|CCL3	1
negative regulation of lipid catabolic process	GO:0050995	COVID-19	MESH:D000086382		IL1B|TNF	2
CCR2 chemokine receptor binding	GO:0031727	COVID-19	MESH:D000086382		CCL2|CCR2	2
gene expression	GO:0010467	COVID-19	MESH:D000086382		IL2|IL6	5
mesoderm development	GO:0007498	COVID-19	MESH:D000086382		BTK|HCK	2
regulation of systemic arterial blood pressure by renin-angiotensin	GO:0003081	COVID-19	MESH:D000086382		ACE2|AGT	16
angiotensin-mediated drinking behavior	GO:0003051	COVID-19	MESH:D000086382		ACE2|AGT	16
response to interleukin-1	GO:0070555	COVID-19	MESH:D000086382		IL1B|SELE	2
biological_process	GO:0008150	COVID-19	MESH:D000086382		CRP|TMEM106B	2
transferase activity, transferring glycosyl groups	GO:0016757	COVID-19	MESH:D000086382		FUT2|UGCG	2
carbohydrate metabolic process	GO:0005975	COVID-19	MESH:D000086382		ABO|FUT2	2
type 1 angiotensin receptor binding	GO:0031702	COVID-19	MESH:D000086382		AGT|TYK2	2
positive regulation of gap junction assembly	GO:1903598	COVID-19	MESH:D000086382		ACE2|AGT	16
negative regulation of neuron death	GO:1901215	COVID-19	MESH:D000086382		CSF3|IL6	5
positive regulation of angiogenesis	GO:0045766	COVID-19	MESH:D000086382		CXCL8|IL1B	2
type III interferon signaling pathway	GO:0038196	COVID-19	MESH:D000086382		IL10RB|TYK2	2
cellular response to dexamethasone stimulus	GO:0071549	COVID-19	MESH:D000086382		CCL2|IL6	5
positive regulation of smooth muscle cell proliferation	GO:0048661	COVID-19	MESH:D000086382		IL6|TNF	5
positive regulation of cell adhesion	GO:0045785	COVID-19	MESH:D000086382		CCL2|TNF	1
defense response to protozoan	GO:0042832	COVID-19	MESH:D000086382		IL10|IL6	5
response to vitamin D	GO:0033280	COVID-19	MESH:D000086382		CXCL10|IL1B	2
phospholipase activator activity	GO:0016004	COVID-19	MESH:D000086382		BTK|CCL3	2
negative regulation of cytokine production involved in immune response	GO:0002719	COVID-19	MESH:D000086382		IL10|TNF	2
defense response	GO:0006952	COVID-19	MESH:D000086382		CXCL10|TNF	1
positive chemotaxis	GO:0050918	COVID-19	MESH:D000086382		CCL3|CXCL10	1
exocytosis	GO:0006887	COVID-19	MESH:D000086382		CCL3|HCK	2
regulation of establishment of endothelial barrier	GO:1903140	COVID-19	MESH:D000086382		IL1B|TNF	2
cilium	GO:0005929	COVID-19	MESH:D000086382		ACE2|LZTFL1	17
angiotensin-activated signaling pathway	GO:0038166	COVID-19	MESH:D000086382		AGT	1
serine-type endopeptidase inhibitor activity	GO:0004867	COVID-19	MESH:D000086382		AGT	1
transmembrane signaling receptor activity	GO:0004888	COVID-19	MESH:D000086382		SELE	1
interleukin-2-mediated signaling pathway	GO:0038110	COVID-19	MESH:D000086382		IL2RA	2
positive regulation of protein transport	GO:0051222	COVID-19	MESH:D000086382		TNF	1
manchette	GO:0002177	COVID-19	MESH:D000086382		LZTFL1	2
protein polymerization	GO:0051258	COVID-19	MESH:D000086382		CRP	1
positive regulation of release of sequestered calcium ion into cytosol	GO:0051281	COVID-19	MESH:D000086382		CXCL10	1
positive regulation of macrophage activation	GO:0043032	COVID-19	MESH:D000086382		IL10	2
macrophage migration	GO:1905517	COVID-19	MESH:D000086382		CCR2	1
negative regulation of vascular endothelial cell proliferation	GO:1905563	COVID-19	MESH:D000086382		CCL2	1
positive regulation of L-arginine import across plasma membrane	GO:1905589	COVID-19	MESH:D000086382		AGT	1
Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0038096	COVID-19	MESH:D000086382		HCK	1
Fc-epsilon receptor signaling pathway	GO:0038095	COVID-19	MESH:D000086382		BTK	1
fibrillar center	GO:0001650	COVID-19	MESH:D000086382		CCR2	1
branching involved in ureteric bud morphogenesis	GO:0001658	COVID-19	MESH:D000086382		AGT	1
fever generation	GO:0001660	COVID-19	MESH:D000086382		IL1B	1
G protein-coupled receptor binding	GO:0001664	COVID-19	MESH:D000086382		CCL2	1
regulation of calcium ion transport	GO:0051924	COVID-19	MESH:D000086382		AGT	1
positive regulation of calcium ion transport	GO:0051928	COVID-19	MESH:D000086382		CCL3	1
positive regulation of receptor internalization	GO:0002092	COVID-19	MESH:D000086382		SELE	1
positive regulation of amino acid transport	GO:0051957	COVID-19	MESH:D000086382		ACE2	15
regulation of synaptic transmission, glutamatergic	GO:0051966	COVID-19	MESH:D000086382		TNF	1
regulation of transmission of nerve impulse	GO:0051969	COVID-19	MESH:D000086382		AGT	1
positive regulation of transmission of nerve impulse	GO:0051971	COVID-19	MESH:D000086382		IL6	4
response to gold nanoparticle	GO:1990268	COVID-19	MESH:D000086382		TNF	1
postsynaptic density	GO:0014069	COVID-19	MESH:D000086382		BCL11A	1
retina development in camera-type eye	GO:0060041	COVID-19	MESH:D000086382		F8	1
regulation of norepinephrine secretion	GO:0014061	COVID-19	MESH:D000086382		AGT	1
acrosomal membrane	GO:0002080	COVID-19	MESH:D000086382		BSG	1
negative regulation of glutamate secretion	GO:0014050	COVID-19	MESH:D000086382		IL1B	1
regulation of lysosome organization	GO:1905671	COVID-19	MESH:D000086382		TMEM106B	1
positive regulation of gliogenesis	GO:0014015	COVID-19	MESH:D000086382		IL6	4
photoreceptor outer segment	GO:0001750	COVID-19	MESH:D000086382		BSG	1
microglial cell activation	GO:0001774	COVID-19	MESH:D000086382		TNF	1
p53 binding	GO:0002039	COVID-19	MESH:D000086382		MUC1	1
neutrophil apoptotic process	GO:0001781	COVID-19	MESH:D000086382		IL6	4
negative regulation of L-glutamate import across plasma membrane	GO:0002037	COVID-19	MESH:D000086382		TNF	1
phosphotyrosine residue binding	GO:0001784	COVID-19	MESH:D000086382		HCK	1
brain renin-angiotensin system	GO:0002035	COVID-19	MESH:D000086382		AGT	1
regulation of blood vessel diameter by renin-angiotensin	GO:0002034	COVID-19	MESH:D000086382		AGT	1
protease binding	GO:0002020	COVID-19	MESH:D000086382		TNF	1
maternal process involved in parturition	GO:0060137	COVID-19	MESH:D000086382		CCL2	1
positive regulation of L-proline import across plasma membrane	GO:1905737	COVID-19	MESH:D000086382		ACE2	15
positive regulation of type III hypersensitivity	GO:0001805	COVID-19	MESH:D000086382		BTK	1
positive regulation of type I hypersensitivity	GO:0001812	COVID-19	MESH:D000086382		BTK	1
regulation of cytokine production	GO:0001817	COVID-19	MESH:D000086382		ACE2	15
C-fiber	GO:0044299	COVID-19	MESH:D000086382		CCL2	1
kidney development	GO:0001822	COVID-19	MESH:D000086382		AGT	1
regulation of renal output by angiotensin	GO:0002019	COVID-19	MESH:D000086382		AGT	1
renin-angiotensin regulation of aldosterone production	GO:0002018	COVID-19	MESH:D000086382		AGT	1
regulation of blood volume by renin-angiotensin	GO:0002016	COVID-19	MESH:D000086382		AGT	1
complement component C1q binding	GO:0001849	COVID-19	MESH:D000086382		CRP	1
angiotensin maturation	GO:0002003	COVID-19	MESH:D000086382		ACE2	15
response to yeast	GO:0001878	COVID-19	MESH:D000086382		IL6	4
phagocytic cup	GO:0001891	COVID-19	MESH:D000086382		TNF	1
hematopoietic stem cell differentiation	GO:0060218	COVID-19	MESH:D000086382		IL6	4
positive regulation of chromosome separation	GO:1905820	COVID-19	MESH:D000086382		PLSCR1	1
positive regulation of leukocyte mediated cytotoxicity	GO:0001912	COVID-19	MESH:D000086382		CCL2	1
photoreceptor inner segment	GO:0001917	COVID-19	MESH:D000086382		BSG	1
regulation of protein phosphorylation	GO:0001932	COVID-19	MESH:D000086382		TNF	1
negative regulation of protein phosphorylation	GO:0001933	COVID-19	MESH:D000086382		IL2	1
regulation of endothelial cell proliferation	GO:0001936	COVID-19	MESH:D000086382		FUT2	1
positive regulation of cytokine-mediated signaling pathway	GO:0001961	COVID-19	MESH:D000086382		IL7	1
